Position,Track Name,Artist,Streams,URL,Date
55,Leaves,Ben&Ben,68566,https://open.spotify.com/track/6wdCelHrPh7UfliNjwRTUv,2020-02-08
56,Dahan,December Avenue,66776,https://open.spotify.com/track/6BxJLJw228OY5BFerPGl7z,2020-02-08
57,Kahit Ayaw Mo Na,This Band,65124,https://open.spotify.com/track/58grXgbCj7t5ulr0TGLIr9,2020-02-08
58,Señorita,Shawn Mendes,63299,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,2020-02-08
59,Lexi,Nik Makino,61529,https://open.spotify.com/track/5LZqOdfYUXunyhHmPqGI6j,2020-02-08
60,I Don't Care (with Justin Bieber),Ed Sheeran,61416,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2020-02-08
61,Lose You To Love Me,Selena Gomez,61140,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi,2020-02-08
62,everything i wanted,Billie Eilish,60843,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-02-08
63,Run,Joji,60165,https://open.spotify.com/track/6p8eEdiZLKJH8tcjGZuNTK,2020-02-08
64,Any song,ZICO,59672,https://open.spotify.com/track/1iIhGHzzrzqQfuNkFI2qAn,2020-02-08
65,Nobela,Julie Anne San Jose,58635,https://open.spotify.com/track/507wQHSkMb1MFJfN2fjpMQ,2020-02-08
66,Hindi Na Nga,This Band,58366,https://open.spotify.com/track/2RgD3eO4IIGF16rR8Ch8OV,2020-02-08
67,I Like Me Better,Lauv,57464,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2020-02-08
68,Malibu Nights,LANY,55318,https://open.spotify.com/track/0Eqg0CQ7bK3RQIMPw1A7pl,2020-02-08
69,Alam Ko,John Roa,54938,https://open.spotify.com/track/5JfXvkPqBWrTUBb1OWs1mU,2020-02-08
70,Your Song,Parokya Ni Edgar,54422,https://open.spotify.com/track/3OpGUlDmRUXh0NkIYWoIlD,2020-02-08
71,Ikaw At Ako,Moira Dela Torre,54031,https://open.spotify.com/track/0gDRtumoR9ZrvAlnniToMz,2020-02-08
72,Say So,Doja Cat,53679,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,2020-02-08
73,bad guy,Billie Eilish,52599,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2020-02-08
74,What A Man Gotta Do,Jonas Brothers,52197,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd,2020-02-08
75,Nobela,Join The Club,51138,https://open.spotify.com/track/3vGkyQlCw8LklNip0ZUELC,2020-02-08
76,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,50922,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,2020-02-08
77,2002,Anne-Marie,50449,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2020-02-08
78,Buwan,juan karlos,49976,https://open.spotify.com/track/5f9808hpiCpuNyqqdXmpF2,2020-02-08
79,Mundo,IV Of Spades,49967,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2020-02-08
80,Balang Araw,I Belong to the Zoo,49869,https://open.spotify.com/track/5NXdUJ3Z2jhlp2u1cj6f7m,2020-02-08
81,Say You Won't Let Go,James Arthur,48949,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020-02-08
82,Life Is Good (feat. Drake),Future,48342,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc,2020-02-08
83,Only The Young - Featured in Miss Americana,Taylor Swift,48203,https://open.spotify.com/track/2slqvGLwzZZYsT4K4Y1GBC,2020-02-08
84,Bagay Tayo,ALLMO$T,46427,https://open.spotify.com/track/2mwd0LWLBgtQBEOLG96nbU,2020-02-08
85,The Day You Said Goodnight,Hale,46010,https://open.spotify.com/track/0HZ3OUVrGHxttD2EuHqRm3,2020-02-08
86,Kahit Di Mo Alam,December Avenue,45205,https://open.spotify.com/track/6GIzDc4xBUeYHwubWwTrhC,2020-02-08
87,Lover,Taylor Swift,45198,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,2020-02-08
88,Adore You,Harry Styles,44791,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,2020-02-08
89,Best Part (feat. Daniel Caesar),H.E.R.,44442,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,2020-02-08
90,Too Good At Goodbyes,Sam Smith,44367,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2020-02-08
91,Paalam,Moira Dela Torre,44305,https://open.spotify.com/track/22AZDYG6qrjMFg0ceeL9X6,2020-02-08
92,Tell Me Where It Hurts,MYMP,43485,https://open.spotify.com/track/6C2nrsOlb3jOUGcJAmPrTA,2020-02-08
93,You should be sad,Halsey,43409,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,2020-02-08
94,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,42737,https://open.spotify.com/track/5UhpceEr5XmbVwyoIUIRnh,2020-02-08
95,Rainbow,South Border,42465,https://open.spotify.com/track/3ueq4reab02CypseErxvwS,2020-02-08
96,Ride Home,Ben&Ben,42002,https://open.spotify.com/track/1fXHTDYsJiFOjVWITaFp1j,2020-02-08
97,With a Smile (feat. Kelly Badon),South Border,41924,https://open.spotify.com/track/6XmskR1cMfgys1W7dExmgi,2020-02-08
98,SUGAR,BROCKHAMPTON,41797,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,2020-02-08
99,Bulong,December Avenue,41749,https://open.spotify.com/track/5nMKJJ5Rl6X1yn58aVeICO,2020-02-08
100,Boy With Luv (feat. Halsey),BTS,41447,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,2020-02-08
101,Bakit Ba Ikaw,Michael Pangilinan,40951,https://open.spotify.com/track/0Vmk6Ebk4QBq7r0VAz2a6s,2020-02-08
102,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,40425,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,2020-02-08
103,214,Rivermaya,40036,https://open.spotify.com/track/7gZ3kWNtIxFgxjsm5OTVMB,2020-02-08
104,Kung Wala Ka,Hale,39911,https://open.spotify.com/track/4JSDhJVmo2UqdF7nxbyenn,2020-02-08
105,Feelings,Lauv,39880,https://open.spotify.com/track/3TnhEoToeS6EUCLYsU8tPW,2020-02-08
106,Walwal,VVS Collective,39699,https://open.spotify.com/track/1k2sk3NuZxy06Os3KTAnA2,2020-02-08
107,Pauwi Nako,PDL,39643,https://open.spotify.com/track/2tzAN1L07SNwnOdgOEeuQr,2020-02-08
108,Before You Go,Lewis Capaldi,39074,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-02-08
109,Ikaw Lang,Kiyo,39060,https://open.spotify.com/track/2kRjoaqiyeS0Faus5wKztH,2020-02-08
110,"Patawad, Paalam",Moira Dela Torre,38801,https://open.spotify.com/track/14BG5B1EJSCyNpZt096xXc,2020-02-08
111,My Oh My (feat. DaBaby),Camila Cabello,38641,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,2020-02-08
112,I Need You More Today,Caleb Santos,37938,https://open.spotify.com/track/761frfZtZ8I2g70UsjFfBK,2020-02-08
113,Feel Special,TWICE,37813,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj,2020-02-08
114,Tagpuan,Moira Dela Torre,37715,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2020-02-08
115,"fuck, i'm lonely - from “13 Reasons Why: Season 3”",Lauv,37645,https://open.spotify.com/track/2B7oyUTr2pCsUqPy4bgiYB,2020-02-08
116,No Shame,5 Seconds of Summer,37469,https://open.spotify.com/track/5JSVa5i6lFPoyOzK4gj0Ox,2020-02-08
117,What If I Told You That I Love You,Ali Gatie,37230,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi,2020-02-08
118,Love Someone,Lukas Graham,37205,https://open.spotify.com/track/0OCRwXbQRdOZ1OtB4Imsp1,2020-02-08
119,"thank u, next",Ariana Grande,35976,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2020-02-08
120,"Till My Heartaches End - From ""The Significant Other""",KZ Tandingan,35694,https://open.spotify.com/track/4isDU5tDNqFLQ5xQ9NgPmz,2020-02-08
121,ILYSB - STRIPPED,LANY,35671,https://open.spotify.com/track/3Dkvp3L4w0uJFYfIPa8E9H,2020-02-08
122,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,35599,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,2020-02-08
123,How Do You Sleep?,Sam Smith,35484,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2020-02-08
124,Shape of My Heart,Backstreet Boys,35413,https://open.spotify.com/track/35o9a4iAfLl5jRmqMX9c1D,2020-02-08
125,Nobody Knows,Russ,35197,https://open.spotify.com/track/1pNAf6W7POwjOD8x8mWf8G,2020-02-08
126,Urong Sulong,Alisson Shore,35046,https://open.spotify.com/track/2KoWHNtJrbE0WxWfQjYjyu,2020-02-08
127,Stickwitu,The Pussycat Dolls,35046,https://open.spotify.com/track/4NjR63Up0uMkQBlKvlZd1l,2020-02-08
128,You Need To Calm Down,Taylor Swift,34850,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,2020-02-08
129,i'm so tired...,Lauv,34502,https://open.spotify.com/track/6uiz2UTi8yaPVd9A1OxxTW,2020-02-08
130,Tadhana,Up Dharma Down,34277,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2020-02-08
131,You Are The Reason,Calum Scott,33965,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B,2020-02-08
132,Magbalik,Callalily,33514,https://open.spotify.com/track/5zMR44ZH4KVZj4FlhTj3SE,2020-02-08
133,Sa Dulo Ng Walang Hanggan - Sa Ngalan Ng Pag-Ibig Piano Version,December Avenue,33411,https://open.spotify.com/track/1mTROTnvFi7uxGciL319Kb,2020-02-08
134,Relationship (feat. Future),Young Thug,33232,https://open.spotify.com/track/25oOaleife6E2MIKmFkPvg,2020-02-08
135,Repeat,Al James,32951,https://open.spotify.com/track/011GTFfE8rqTRMhz5g8IAW,2020-02-08
136,She Will Be Loved - Radio Mix,Maroon 5,32911,https://open.spotify.com/track/4llK75pXNWZz6KAho2Gp16,2020-02-08
137,Mabagal,Daniel Padilla,32862,https://open.spotify.com/track/07JZJ9YJRaiUAz9Bv8wgwH,2020-02-08
138,Just the Way You Are,Bruno Mars,32632,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,2020-02-08
139,Someday,Nina,32380,https://open.spotify.com/track/1MkiRsYBkXbXvdiYvTTiQT,2020-02-08
140,Migraine,Moonstar88,32350,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA,2020-02-08
141,Lucky,Jason Mraz,32306,https://open.spotify.com/track/2qLMf6TuEC3ruGJg4SMMN6,2020-02-08
142,Without Me,Halsey,32271,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,2020-02-08
143,Make You Mine,PUBLIC,32255,https://open.spotify.com/track/5iFwAOB2TFkPJk8sMlxP8g,2020-02-08
144,You're Still The One,Shania Twain,32248,https://open.spotify.com/track/6sU3YUz0Ld3OPFmrnxlpzD,2020-02-08
145,Talk (feat. Disclosure),Khalid,32206,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,2020-02-08
146,Girls Like You (feat. Cardi B),Maroon 5,31884,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2020-02-08
147,Thick And Thin,LANY,31876,https://open.spotify.com/track/3D110t9ctcoOoylXsc3iR8,2020-02-08
148,What Am I,Why Don't We,31725,https://open.spotify.com/track/0TMGV2zMZXOILVtQLtkI3G,2020-02-08
149,Goodbyes (Feat. Young Thug),Post Malone,31406,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2020-02-08
150,IDGAF,Dua Lipa,31355,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2020-02-08
151,FANCY,TWICE,31024,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA,2020-02-08
152,Ang Huling El Bimbo,Eraserheads,30927,https://open.spotify.com/track/135ggzbjOogZ75IQ0LQi8r,2020-02-08
153,This I Promise You,*NSYNC,30885,https://open.spotify.com/track/46n2EGFnPC3tzWCN1Aqe26,2020-02-08
154,So Sick,Ne-Yo,30773,https://open.spotify.com/track/6brl7bwOHmGFkNw3MBqssT,2020-02-08
155,Weak,Khel Pangilinan,30686,https://open.spotify.com/track/06cUybZMETs4i3yQO1f7p3,2020-02-08
156,Thru These Tears,LANY,30646,https://open.spotify.com/track/7GbAp0HKPQW7WnFJAzMoRk,2020-02-08
157,DUN DUN,EVERGLOW,30566,https://open.spotify.com/track/3CyCjgTHFzqucmECajq8QA,2020-02-08
158,If I Can't Have You,Shawn Mendes,30534,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,2020-02-08
159,Before I Let You Go,Freestyle,30390,https://open.spotify.com/track/5T8bLnWG8sg9ER8RKNZbCB,2020-02-08
160,Dating Tayo,TJ Monterde,30294,https://open.spotify.com/track/267RumTt5KeLBGl2KWxBL0,2020-02-08
161,You And Me,Lifehouse,30286,https://open.spotify.com/track/0815caqt2Lytro5EIzMufT,2020-02-08
162,Beautiful (feat. Camila Cabello),Bazzi,29956,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2020-02-08
163,Dancing With A Stranger (with Normani),Sam Smith,29938,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2020-02-08
164,Rewrite The Stars,Zac Efron,29910,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2020-02-08
165,Never Really Over,Katy Perry,29694,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,2020-02-08
166,Pasensya Ka Na,Silent Sanctuary,29651,https://open.spotify.com/track/0YyM8aEdbjGfLWPn6fdcn7,2020-02-08
167,'Di Na Babalik,This Band,29524,https://open.spotify.com/track/7hoP5NDUXEbmOawvEAsi8h,2020-02-08
168,ILYSB,LANY,29505,https://open.spotify.com/track/2btKtacOXuMtC9WjcNRvAA,2020-02-08
169,SLOW DANCING IN THE DARK,Joji,29302,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,2020-02-08
170,Kill This Love,BLACKPINK,29200,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn,2020-02-08
171,Your Song (My One and Only You),Julie Anne San Jose,29179,https://open.spotify.com/track/5Seh4HfqT1mFnRJQswqz51,2020-02-08
172,Happier,Marshmello,28742,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2020-02-08
173,Take A Bow,Rihanna,28735,https://open.spotify.com/track/39afswHs17v53znQm1gDTY,2020-02-08
174,lowkey,NIKI,28714,https://open.spotify.com/track/5TTXEcfsYLh6fTarLaevTi,2020-02-08
175,7 rings,Ariana Grande,28693,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2020-02-08
176,I'm Yours,Jason Mraz,28666,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,2020-02-08
177,13,LANY,28584,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F,2020-02-08
178,LATINA,Al James,28505,https://open.spotify.com/track/6Fh0xf6gIgBJ5FyjAZmmI8,2020-02-08
179,Bibingka,Ben&Ben,28317,https://open.spotify.com/track/3nmRSlzR7xtAo95GjfIahZ,2020-02-08
180,I Don't Wanna Love You Anymore,LANY,28296,https://open.spotify.com/track/7ArrTJ1LwcGAlEO65LUQ7i,2020-02-08
181,The Weekend - Funk Wav Remix,SZA,28295,https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt,2020-02-08
182,Nandyan Agad Ako,Ex Battalion,28165,https://open.spotify.com/track/6BZLjTOKBPqhq4xpOLkjrp,2020-02-08
183,It Might Be You - Theme from Everyday I Love You,Michael Pangilinan,27665,https://open.spotify.com/track/4FdQYoWFym37QDQ2GkEHi1,2020-02-08
184,Perfect,Ed Sheeran,27448,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2020-02-08
185,Nang Iwan,This Band,27309,https://open.spotify.com/track/7Livy729zY16jBsppfYLRW,2020-02-08
186,Hiling,Mark Carpio,27112,https://open.spotify.com/track/6xQs6y6CpDqK9VKCktApEL,2020-02-08
187,Photograph,Ed Sheeran,27088,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2020-02-08
188,The Man,Taylor Swift,26852,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70,2020-02-08
189,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,26787,https://open.spotify.com/track/2YlZnw2ikdb837oKMKjBkW,2020-02-08
190,Beautiful Soul,Jesse McCartney,26764,https://open.spotify.com/track/1HwpWwa6bnqqRhK8agG4RS,2020-02-08
191,Super Far,LANY,26754,https://open.spotify.com/track/15ahYSiHAIMxAnujlXVtta,2020-02-08
192,Iris,The Goo Goo Dolls,26673,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,2020-02-08
193,Ikaw Lamang,Silent Sanctuary,26647,https://open.spotify.com/track/2v5VIWMjZxeiG52KckiXxS,2020-02-08
194,Blank Space,Taylor Swift,26617,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,2020-02-08
195,My Boo,Usher,26445,https://open.spotify.com/track/68vgtRHr7iZHpzGpon6Jlo,2020-02-08
196,Birthday,Anne-Marie,26424,https://open.spotify.com/track/5hff5RQeE84pznOt8WEWeO,2020-02-08
197,when the party's over,Billie Eilish,26403,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2020-02-08
198,Ex,Callalily,26391,https://open.spotify.com/track/0GHwNr0lqf8jpc9wesmnHo,2020-02-08
199,Fall for You (Acoustic),Secondhand Serenade,26171,https://open.spotify.com/track/5V7mTIcXVU9k2JNu0mE6vy,2020-02-08
200,Mitsa (Salamat),Ben&Ben,26123,https://open.spotify.com/track/1PUWUlqe6m5HqX754lN3Bs,2020-02-08
